возраст lx
0 100000
1 99330.76422377452
2 99270.948891574
3 99233.51902488591
4 99205.09897958119
5 99180.63612140801
6 99158.15638461392
7 99136.8476445609
8 99117.02555672127
9 99100.70334197365
10 99086.18704612441
11 99068.69303988658
12 99051.09101215334
13 99031.0281759138
14 99008.70709342495
15 98982.26240346159
16 98947.03158183213
17 98907.95069104143
18 98861.27252453321
19 98798.59834328096
20 98728.65565752426
21 98641.84128673369
22 98550.80103135007
23 98436.15220889788
24 98298.22481782276
25 98135.35932120573
26 97945.69876533812
27 97714.91844116389
28 97436.57809643251
29 97123.31561692937
30 96791.51599215627
31 96442.9470632703
32 96034.52929624217
33 95580.59438922498
34 95121.31600303212
35 94624.10728071423
36 94101.58724633472
37 93553.31088069448
38 92993.75556581315
39 92429.40649098642
40 91844.30147892729
41 91239.35417049525
42 90647.64266333893
43 90054.95783768933
44 89436.4543183467
45 88817.10468187385
46 88179.37133153166
47 87544.91113691275
48 86886.11973091288
49 86176.06964595045
50 85396.06512769342
51 84548.9204600402
52 83592.61441930082
53 82515.18568705546
54 81316.92414924529
55 80010.47370262459
56 78574.28181049963
57 77062.46954294915
58 75498.82719811125
59 73891.76427998347
60 72192.29615195315
61 70299.33100696099
62 68428.93367393185
63 66566.08885439739
64 64579.73792633639
65 62626.04142093495
66 60551.976714619
67 58392.81242989933
68 56628.76857902627
69 54582.71588104308
70 53197.58485962579
71 52178.14179939016
72 51282.65241418461
73 50258.009151503444
74 48243.40696219226
75 45843.93802861247
76 42987.75638225259
77 39688.64560030426
78 36451.82237995186
79 33210.46540033198
80 30394.39062558813
81 27964.75836704407
82 25889.69863843302
83 23541.475645314837
84 20882.04858581838
85 18105.89757587772
86 15203.747736471803
87 12465.527115439785
88 9812.794635300852
89 7551.138679508968
90 5645.54760259073
91 4109.5841727120915
92 2871.104065119721
93 2015.33557538484
94 1388.0812747497093
95 949.4720964155114
96 625.1831616838531
97 357.31837957132205
98 183.946306294172
99 83.39849237803804
100 4.487787919060793e-11
